wallet,totalDepositedUSD,totalBorrowedUSD,totalRepaidUSD,totalWithdrawnUSD,activityCount,uniqueTokens,creditScore
0x0034daf2e65f6ef82bc6f893dbbfd7c232a0e59c,0.0,0.0,0.0,0,5,3,300.00000000000006
0x0035e2e614e53a5ebf5a518dede926a7fcec4f91,4286.286065817432,1471.653898010025,914.9663936533418,0,26,3,300.0000000000219
0x0036472d3ca5e7ab22477d62682b2a3d9436d328,10238696481329.51,0.0,0.0,0,1,1,300.0670744859549
0x0036534c48a754163f0f446601f36bcfda840f57,26998615543002.258,150413742623155.06,149271603816964.4,0,27,5,300.0
0x00368bb9dba2ee83f3553feae59710b9c3743e09,2864.790341396687,788.5672363468941,0.0,0,11,4,300.00000000001165
0x0036a2f1f6136bb9d7992f7def692126a279e702,1.0147174318145307,0.0,0.0,0,1,1,300.00000000000006
0x0036a3f98bc84afb07fe42421f5a14cfe3c33219,3253.080050062062,1399613802330955.8,1406598403450859.5,0,43,5,300.0
0x0036bc671c03460dec7d0ab24f45df0cf33d042b,1391829413735656.5,428562340208470.5,447136694985124.44,0,12,3,308.70249071746247
0x0037643e4ec2b622270676e9e7aa163b261cfb79,1.8382403652310029,0.0,0.0,0,1,1,300.00000000000006
0x0037aca1c1c45787a95c11dfaabed6308dc2ff80,49782.8970573351,0.0,0.0,0,9,1,300.00000000032617
0x0037daf6fb154db55110ced85cb4ba9e1204ca17,9607577124617.832,9736950724490.486,0.0,0,28,5,300.0
0x0038281701bf3f51fdbb18903c6e18776780a9a1,1.0939297118855962,0.0,0.0,0,1,1,300.00000000000006
0x00389de87cae34a6f89e13cc8225c4984add8b37,2.060100060457569e+16,3114347.9784883675,1426082.1549210404,0,610,8,434.95873503528145
0x0039e71541bdc798d062346bce94230bf519bb72,0.030783814783927176,0.004735971505219565,0.0,0,2,1,300.00000000000006
0x0039e762ecd8e8f074e93575dc395abfce4ef8b6,1.0017499799558686e+16,0.0,0.0,0,6,3,365.6254095268637
0x003a85c562730b196f7cba202a2515f2ff855736,1763040.535519632,5014426082412046.0,4970980528664495.0,0,177,7,300.0
0x003a969ef82e876824b4131a1bbafbdb46a2ca90,2427.943365150083,885.9066653037406,886.0212731966362,0,13,3,300.00000000001484
0x003ae57782ab0f390908f8d7a3a9680bcfc62ec0,2.0859259470726457,0.0,0.0,0,2,1,300.00000000000006
0x003ae6c26a2655eb54c1e53b03a266d97f3512e6,738.4042057380465,112.41839798277496,0.0,0,43,4,300.000000000004
0x003b2816d976cebbf0cadec981ff59286b6d7f2f,141.96701719755856,0.0,0.0,0,4,2,300.00000000000097
0x003be39433bde975b12411fbc3025d49d813a84f,0.0,0.7321317130665956,0.0,0,4,1,300.0
0x003cb0842811db8d115e28f13048dd83db391dcb,1.622958931890345,0.0,0.0,0,1,1,300.00000000000006
0x003dc03b7d7fe265e1c1db88bb1c6b1e6bcd06a7,1.4560059765045592,0.0,0.0,0,1,1,300.00000000000006
0x003e41b4f19f27ab2a07c19abe2d99ecb492ce62,0.0,1714.957348770349,3414.426915768484,0,6,2,300.0000000000112
0x003e9a119439ef34de3237034cee95675b01d5d4,35085.0838816686,17372.676884750294,14109.507427746397,0,31,3,300.00000000018156
0x003ed65a094ef804c934f2427b601e03113882ff,0.00022940750343754807,0.0,0.0,0,2,1,300.00000000000006
0x003edfecb016131dbd485c72f3b6f2e98a1429d9,2194.3097082991626,1413.6314917438501,1073.6614628823245,0,144,4,300.0000000000101
0x003f705c2e62e268891d8aa2724e32f2176dc963,15.939348187759633,0.0,0.0,0,1,1,300.0000000000001
0x00402e826833fbeb6f67072f3df3c8554a0b10e6,822287980845224.0,17043.969762901757,16966.99704855937,0,39,5,305.38687163179526
0x00405f7b768a9a6b81e8060a17f0550501acf6be,30301.682657323374,16879.7199342611,0.0,0,144,2,300.00000000004394
0x0040932d4c252856709b24dc406244392d3df400,9.814599508936935,0.0,0.0,0,2,1,300.0000000000001
0x0040daac32d83c78546ae36da42a496b28ab09e1,2111.760411662155,0.0,0.0,0,6,2,300.00000000001387
0x00418b8ea6c6e2d5676f651bf76a368adb845e91,1213.755,0.0,0.0,0,1,1,300.00000000000796
0x0041dac13d9365b4d695fb612950dc71884f8db1,89183435850679.44,653674204500546.0,633932844438574.0,0,154,7,300.0
0x0043090d0a3338eb89914ea9af5c529e928a044c,9225.488219474806,0.0,0.0,0,2,1,300.0000000000605
0x0043260ff376a32f335de2091e8bd455d74ecef9,1.109778724889663,0.0,0.0,0,1,1,300.00000000000006
0x00432772ed25d4eb3c6eb26dc461239b35cf8760,1.0990597666209374,0.0,0.0,0,1,1,300.00000000000006
0x00432beb667c8908a74f35fef62882b502347e61,20.819294760129825,0.0,0.0,0,3,1,300.00000000000017
0x00433d27687ff685d3871395d7fedfd42b1c3529,175.44646591787034,0.0,0.0,0,30,3,300.00000000000125
0x0043f8113eb1257bc6314fe0434eec0d9bac3837,181.1794536243991,0.0,0.0,0,8,3,300.00000000000125
0x004403abb2246c48ac770e30e7b36e3b16e152a1,2171.8297359779986,2225.9267646151284,2225.9033657989125,0,12,3,300.0000000000114
0x00447d3b5f40e1bb71766b5ffc656f5391f6e9d8,1040.7485366961978,0.0,0.0,0,2,1,300.0000000000068
0x0044803a27c6c45babd3fb7affb80b3f913579d7,2185.244788818398,30001199327341.547,30325875070990.46,0,67,7,300.0
0x0044f0ab1281b2bc850bfa39123dec1e8e09001d,45968.90228408212,2165392369968937.5,99789640199706.11,0,49,6,300.0
